run_timestamp,name_a,name_b,game_index,a_is_blue,winner_name,total_moves,total_time,avg_time_blue,avg_time_red,sims,time_per_move
2026-04-26_1440,Random,MonteCarlo,45,1,MonteCarlo,34,8.0298,0.000012,0.472314,200,0.5
2026-04-26_1440,Random,MonteCarlo,46,0,MonteCarlo,71,17.5828,0.488369,0.000012,200,0.5
2026-04-26_1440,Random,MonteCarlo,47,1,MonteCarlo,84,20.5624,0.000013,0.489543,200,0.5
2026-04-26_1440,Random,MonteCarlo,48,0,MonteCarlo,87,21.6316,0.491566,0.000012,200,0.5
2026-04-26_1440,Random,MonteCarlo,49,1,MonteCarlo,32,7.5235,0.000012,0.470192,200,0.5
2026-04-26_1440,Random,MonteCarlo,50,0,MonteCarlo,87,21.5986,0.490822,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,1,1,MCTS-Light,86,21.0653,0.000013,0.489855,200,0.5
2026-04-26_1455,Random,MCTS-Light,2,0,MCTS-Light,73,18.0492,0.487791,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,3,1,MCTS-Light,78,19.0738,0.000013,0.489036,200,0.5
2026-04-26_1455,Random,MCTS-Light,4,0,MCTS-Light,69,17.0519,0.487168,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,5,1,MCTS-Light,74,18.0536,0.000012,0.487905,200,0.5
2026-04-26_1455,Random,MCTS-Light,6,0,MCTS-Light,85,21.0640,0.489833,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,7,1,MCTS-Light,80,19.5720,0.000013,0.489263,200,0.5
2026-04-26_1455,Random,MCTS-Light,8,0,MCTS-Light,81,20.0596,0.489229,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,9,1,MCTS-Light,66,16.0428,0.000012,0.486118,200,0.5
2026-04-26_1455,Random,MCTS-Light,10,0,MCTS-Light,87,21.5635,0.490045,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,11,1,MCTS-Light,88,21.5625,0.000012,0.490021,200,0.5
2026-04-26_1455,Random,MCTS-Light,12,0,MCTS-Light,73,18.0525,0.487878,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,13,1,MCTS-Light,68,16.5640,0.000012,0.487144,200,0.5
2026-04-26_1455,Random,MCTS-Light,14,0,MCTS-Light,89,22.0685,0.490379,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,15,1,MCTS-Light,94,23.0845,0.000012,0.491120,200,0.5
2026-04-26_1455,Random,MCTS-Light,16,0,MCTS-Light,81,20.0422,0.488811,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,17,1,MCTS-Light,66,16.0578,0.000013,0.486571,200,0.5
2026-04-26_1455,Random,MCTS-Light,18,0,MCTS-Light,89,22.0867,0.490771,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,19,1,MCTS-Light,64,15.5425,0.000012,0.485679,200,0.5
2026-04-26_1455,Random,MCTS-Light,20,0,MCTS-Light,71,17.5519,0.487526,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,21,1,MCTS-Light,68,16.5459,0.000012,0.486618,200,0.5
2026-04-26_1455,Random,MCTS-Light,22,0,MCTS-Light,71,17.5650,0.487884,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,23,1,MCTS-Light,64,15.5512,0.000012,0.485944,200,0.5
2026-04-26_1455,Random,MCTS-Light,24,0,MCTS-Light,65,16.0548,0.486480,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,25,1,MCTS-Light,82,20.0608,0.000012,0.489254,200,0.5
2026-04-26_1455,Random,MCTS-Light,26,0,MCTS-Light,81,20.0610,0.489264,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,27,1,MCTS-Light,78,19.0343,0.000012,0.488036,200,0.5
2026-04-26_1455,Random,MCTS-Light,28,0,MCTS-Light,91,22.5686,0.490588,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,29,1,MCTS-Light,86,21.0673,0.000013,0.489900,200,0.5
2026-04-26_1455,Random,MCTS-Light,30,0,MCTS-Light,69,17.0598,0.487397,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,31,1,MCTS-Light,82,20.0554,0.000013,0.489125,200,0.5
2026-04-26_1455,Random,MCTS-Light,32,0,MCTS-Light,75,18.5518,0.488178,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,33,1,MCTS-Light,80,19.5652,0.000012,0.489095,200,0.5
2026-04-26_1455,Random,MCTS-Light,34,0,MCTS-Light,73,18.0515,0.487849,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,35,1,MCTS-Light,82,20.0799,0.000013,0.489713,200,0.5
2026-04-26_1455,Random,MCTS-Light,36,0,MCTS-Light,65,16.0565,0.486532,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,37,1,MCTS-Light,86,21.0589,0.000013,0.489710,200,0.5
2026-04-26_1455,Random,MCTS-Light,38,0,MCTS-Light,65,16.0532,0.486432,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,39,1,MCTS-Light,82,20.0706,0.000013,0.489491,200,0.5
2026-04-26_1455,Random,MCTS-Light,40,0,MCTS-Light,77,19.0653,0.488824,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,41,1,MCTS-Light,76,18.5528,0.000012,0.488203,200,0.5
2026-04-26_1455,Random,MCTS-Light,42,0,MCTS-Light,61,15.0401,0.485140,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,43,1,MCTS-Light,74,18.0539,0.000013,0.487912,200,0.5
2026-04-26_1455,Random,MCTS-Light,44,0,MCTS-Light,79,19.5648,0.489089,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,45,1,MCTS-Light,76,18.5660,0.000012,0.488543,200,0.5
2026-04-26_1455,Random,MCTS-Light,46,0,MCTS-Light,73,18.0616,0.488122,0.000012,200,0.5
2026-04-26_1455,Random,MCTS-Light,47,1,MCTS-Light,58,14.0460,0.000012,0.484315,200,0.5
2026-04-26_1455,Random,MCTS-Light,48,0,MCTS-Light,69,17.0578,0.487335,0.000013,200,0.5
2026-04-26_1455,Random,MCTS-Light,49,1,MCTS-Light,82,20.0582,0.000012,0.489196,200,0.5
2026-04-26_1455,Random,MCTS-Light,50,0,MCTS-Light,67,16.5438,0.486560,0.000012,200,0.5
2026-04-26_1456,Random,Heuristic,1,1,Heuristic,22,0.3616,0.000017,0.032835,200,0.5
2026-04-26_1456,Random,Heuristic,2,0,Heuristic,25,0.4219,0.032423,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,3,1,Heuristic,22,0.3604,0.000014,0.032737,200,0.5
2026-04-26_1456,Random,Heuristic,4,0,Heuristic,21,0.3589,0.032605,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,5,1,Heuristic,24,0.3977,0.000014,0.033113,200,0.5
2026-04-26_1456,Random,Heuristic,6,0,Heuristic,21,0.3589,0.032593,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,7,1,Heuristic,24,0.3961,0.000016,0.032971,200,0.5
2026-04-26_1456,Random,Heuristic,8,0,Heuristic,23,0.4159,0.034627,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,9,1,Heuristic,24,0.3447,0.000014,0.028698,200,0.5
2026-04-26_1456,Random,Heuristic,10,0,Heuristic,21,0.3721,0.033803,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,11,1,Heuristic,22,0.3506,0.000014,0.031841,200,0.5
2026-04-26_1456,Random,Heuristic,12,0,Heuristic,21,0.3718,0.033772,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,13,1,Heuristic,30,0.4830,0.000014,0.032165,200,0.5
2026-04-26_1456,Random,Heuristic,14,0,Heuristic,25,0.4251,0.032667,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,15,1,Heuristic,22,0.3682,0.000014,0.033441,200,0.5
2026-04-26_1456,Random,Heuristic,16,0,Heuristic,23,0.3977,0.033111,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,17,1,Heuristic,22,0.3590,0.000014,0.032610,200,0.5
2026-04-26_1456,Random,Heuristic,18,0,Heuristic,21,0.3673,0.033358,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,19,1,Heuristic,24,0.3940,0.000014,0.032799,200,0.5
2026-04-26_1456,Random,Heuristic,20,0,Heuristic,25,0.4330,0.033275,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,21,1,Heuristic,26,0.3897,0.000014,0.029946,200,0.5
2026-04-26_1456,Random,Heuristic,22,0,Heuristic,23,0.4027,0.033531,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,23,1,Heuristic,24,0.3772,0.000014,0.031406,200,0.5
2026-04-26_1456,Random,Heuristic,24,0,Heuristic,21,0.3667,0.033306,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,25,1,Heuristic,22,0.3399,0.000014,0.030876,200,0.5
2026-04-26_1456,Random,Heuristic,26,0,Heuristic,21,0.3741,0.033980,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,27,1,Heuristic,22,0.3642,0.000014,0.033084,200,0.5
2026-04-26_1456,Random,Heuristic,28,0,Heuristic,25,0.4419,0.033960,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,29,1,Heuristic,22,0.3510,0.000014,0.031875,200,0.5
2026-04-26_1456,Random,Heuristic,30,0,Heuristic,25,0.4113,0.031607,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,31,1,Heuristic,22,0.3128,0.000015,0.028410,200,0.5
2026-04-26_1456,Random,Heuristic,32,0,Heuristic,25,0.4265,0.032773,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,33,1,Heuristic,22,0.3620,0.000014,0.032877,200,0.5
2026-04-26_1456,Random,Heuristic,34,0,Heuristic,23,0.4024,0.033503,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,35,1,Heuristic,22,0.3458,0.000014,0.031408,200,0.5
2026-04-26_1456,Random,Heuristic,36,0,Heuristic,23,0.4004,0.033332,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,37,1,Heuristic,22,0.3471,0.000014,0.031522,200,0.5
2026-04-26_1456,Random,Heuristic,38,0,Heuristic,21,0.3671,0.033344,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,39,1,Heuristic,24,0.3715,0.000014,0.030929,200,0.5
2026-04-26_1456,Random,Heuristic,40,0,Heuristic,25,0.4393,0.033759,0.000014,200,0.5
2026-04-26_1456,Random,Heuristic,41,1,Heuristic,24,0.3925,0.000014,0.032682,200,0.5
2026-04-26_1456,Random,Heuristic,42,0,Heuristic,23,0.4043,0.033662,0.000015,200,0.5
2026-04-26_1456,Random,Heuristic,43,1,Heuristic,22,0.3532,0.000014,0.032079,200,0.5
2026-04-26_1456,Random,Heuristic,44,0,Heuristic,25,0.4198,0.032264,0.000014,200,0.5
