run_timestamp,name_a,name_b,game_index,a_is_blue,winner_name,total_moves,total_time,avg_time_blue,avg_time_red,sims,time_per_move
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,26,0,deepseek_v4_pro_max,61,21.3386,0.287120,0.414571,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,27,1,AlphaBeta,29,12.6561,0.399209,0.476270,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,28,0,AlphaBeta,24,12.7959,0.536573,0.529732,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,29,1,AlphaBeta,21,8.6400,0.349234,0.479825,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,30,0,AlphaBeta,24,10.2341,0.497221,0.355605,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,31,1,AlphaBeta,23,10.1561,0.404186,0.482332,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,32,0,AlphaBeta,22,11.4993,0.527479,0.517891,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,33,1,AlphaBeta,23,10.6997,0.442409,0.490053,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,34,0,AlphaBeta,22,12.1437,0.552064,0.551888,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,35,1,AlphaBeta,23,8.0811,0.269599,0.440525,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,36,0,AlphaBeta,24,10.6652,0.500981,0.387770,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,37,1,AlphaBeta,23,9.6958,0.369009,0.478869,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,38,0,AlphaBeta,24,11.2066,0.493545,0.440322,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,39,1,AlphaBeta,25,10.2399,0.348887,0.475346,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,40,0,AlphaBeta,34,15.0573,0.416980,0.468720,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,41,1,AlphaBeta,23,9.4163,0.340333,0.484737,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,42,0,AlphaBeta,22,11.0393,0.505888,0.497669,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,43,1,AlphaBeta,23,8.9308,0.314279,0.469024,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,44,0,AlphaBeta,26,12.8087,0.521959,0.463312,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,45,1,AlphaBeta,21,10.2369,0.470512,0.506113,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,46,0,AlphaBeta,22,9.9125,0.520897,0.380225,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,47,1,AlphaBeta,21,9.1177,0.389279,0.483546,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,48,0,AlphaBeta,24,12.1507,0.531505,0.481035,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,49,1,AlphaBeta,23,9.9687,0.386168,0.484955,600,0.5
2026-04-26_2309,AlphaBeta,deepseek_v4_pro_max,50,0,AlphaBeta,24,10.9130,0.506141,0.403261,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,1,1,AlphaBeta,21,7.8845,0.306163,0.451656,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,2,0,AlphaBeta,22,10.9789,0.451566,0.546497,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,3,1,AlphaBeta,25,10.4745,0.389334,0.451082,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,4,0,AlphaBeta,22,10.1314,0.451486,0.469541,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,5,1,AlphaBeta,23,9.6305,0.388360,0.451815,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,6,0,AlphaBeta,22,10.1301,0.451162,0.469743,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,7,1,AlphaBeta,25,10.1561,0.364766,0.451166,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,8,0,AlphaBeta,22,10.7849,0.452057,0.528374,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,9,1,AlphaBeta,21,7.6886,0.288861,0.451108,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,10,0,AlphaBeta,24,12.2266,0.451796,0.567070,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,11,1,AlphaBeta,23,9.6590,0.391037,0.451495,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,12,0,AlphaBeta,22,10.7653,0.452260,0.526385,600,0.5
